task,rho,n_training_seeds,clean_eval_score_mean,clean_eval_score_pstdev,obs_sigma_008_score_mean,obs_sigma_008_score_pstdev,recovery_label_rate,atr_normalized_q90_mean,atr_normalized_q90_pstdev,smpr_delta010_mean,smpr_delta010_pstdev,proxy_gap_q50q90_mean,proxy_gap_q50q90_pstdev,proxy_gap_positive_rate,top1_agree_mean,top1_agree_pstdev,cert_pass_rate_mean,notes
PushT,0.01,3,85.888889,1.4989707497619815,37.888888888888886,12.368817654603836,0.0,0.5951208194299261,0.05955709402194146,0.7993197043736776,0.1760183543384716,-28.895713806152344,46.65582627190529,0.3333333333333333,0.5833333333333334,0.14383632999582777,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.02,3,87.33333344444445,0.7200821969542021,62.66666655555556,11.98455791301333,0.3333333333333333,0.3607881043886589,0.035182314113462024,0.9693877498308817,0.014430771853241037,38.947916666666664,44.315389576723746,0.6666666666666666,0.823333332935969,0.11614167822118167,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.03,3,89.6666668888889,1.571348398669499e-07,82.44444466666667,1.6629588682618972,1.0,0.17737829597321508,0.04005848837500763,1.0,0.0,106.96358489990234,7.676432405822333,1.0,0.9366666668405136,0.028674418503758327,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.04,3,89.11111111111111,0.8314794192830977,86.55555555555556,0.15713507596600043,1.0,0.12674765024974202,0.020409294445450626,1.0,0.0,115.57609621683757,3.6215017231327473,1.0,0.933333333581686,0.004714045980602539,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.05,3,83.9999998888889,3.030707068215823,81.11111111111111,3.034777633361411,0.6666666666666666,0.12245676252949933,0.032876928694137955,1.0,0.0,98.57863680521648,6.064939033206791,1.0,0.9366666674613953,0.012472190346720811,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.06,3,88.22222211111111,1.3425608200582875,86.77777755555556,0.6285395181895532,1.0,0.10709839973887032,0.03893149616560475,1.0,0.0,109.82135009765625,28.301368686256065,1.0,0.9566666676352421,0.028674416915885577,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.07,3,86.44444455555556,0.8748899190014683,84.0,0.2721652548103785,1.0,0.07254334853202778,0.01805758803223038,1.0,0.0,112.84614499409993,3.4239086797695664,1.0,0.9633333335320154,0.009428091083145735,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.08,3,86.88888911111111,1.5947443542949358,85.77777766666667,3.4462360430181724,1.0,0.06853496636836466,0.009761625087260016,1.0,0.0,117.73607381184895,10.213202554456574,1.0,0.9733333339293798,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.00,3,59.22222222222222,1.0304023066648855,18.222222444444444,0.41573967994588396,0.0,1.0,0.0,0.37333332498868305,0.03858612311228215,-417.3200276692708,5.380500700157044,0.0,0.09666665395100911,0.016996742777973455,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.01,3,62.66666655555555,1.1863418719058427,44.55555555555556,2.5724082006200497,0.0,0.834214320071662,0.03552665756275784,0.6766666571299235,0.05906681688646985,-250.724334081014,31.045099576376643,0.0,0.3700000047683716,0.07118053753447094,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.02,3,77.00000022222223,6.182412174572019,70.33333355555555,9.463379554503383,0.3333333333333333,0.2843073399603414,0.2522054782913034,0.9633332888285319,0.030912060023394586,-56.79968023300171,68.32826676251636,0.3333333333333333,0.8099999992797772,0.1606237869458092,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.03,3,78.22222222222223,1.6629588385661966,76.77777788888889,4.166296383546854,1.0,0.08108406994282837,0.010026559176078897,0.9899999499320984,0.0,-6.689947128295898,3.770512425715227,0.0,0.960000000273188,0.008164966387197763,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.04,3,81.77777766666667,1.594744555573366,80.55555566666666,1.0304019592037306,1.0,0.04454121901018071,0.003018625280245666,0.9899999499320984,0.0,4.789068857828776,1.2500096156251777,1.0,0.9800000004470348,0.008164965626776053,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.05,3,76.44444433333334,4.565030726168688,77.77777766666667,5.665577128371908,0.6666666666666666,0.028749466994901687,0.008981475243105427,1.0,0.0,5.38505204518636,0.9489958866983658,1.0,0.9633333341528972,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
