training_seed,task,std_key,candidate_count,sharp_cert_pass_rate,sharp_cert_pass_n,sharp_cert_pass_lower95_wilson,flip_risk_upper95_from_coverage,observed_flip_rate,flip_when_sharp_cert_fail_rate,risk_coverage_aurc
3074,TwoRoom,0.02,8,0.9200000166893005,92,0.8635352304245132,0.1364647695754868,0.05999999865889549,0.75,0.002399999999999999
3074,TwoRoom,0.02,16,0.8600000143051147,86,0.793406218062001,0.20659378193799904,0.07999999821186066,0.5714285969734192,0.005555555555555556
3074,TwoRoom,0.02,32,0.7699999809265137,77,0.6942151711258685,0.3057848288741315,0.15000000596046448,0.6521739363670349,0.013888888888888885
3074,TwoRoom,0.02,65,0.7099999785423279,71,0.6306129752103758,0.36938702478962415,0.20000000298023224,0.6896551847457886,0.027688888888888888
3074,TwoRoom,0.03,8,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.029999999329447746,1.0,0.00045000000000000037
3074,TwoRoom,0.03,16,0.9300000071525574,93,0.8757398869332069,0.12426011306679308,0.05999999865889549,0.8571428656578064,0.0020999999999999986
3074,TwoRoom,0.03,32,0.8899999856948853,89,0.8279141735549224,0.17208582644507764,0.07999999821186066,0.7272727489471436,0.003999999999999999
3074,TwoRoom,0.03,65,0.8500000238418579,85,0.7820969631120788,0.21790303688792123,0.07999999821186066,0.5333333611488342,0.005666666666666667
3074,TwoRoom,0.04,8,0.9800000190734863,98,0.9413516316431647,0.05864836835683529,0.009999999776482582,0.5,0.00010000000000000009
3074,TwoRoom,0.04,16,0.949999988079071,95,0.9008389147209472,0.09916108527905276,0.019999999552965164,0.4000000059604645,0.0005000000000000004
3074,TwoRoom,0.04,32,0.8999999761581421,90,0.8396444903889078,0.16035550961109224,0.029999999329447746,0.30000001192092896,0.0014999999999999996
3074,TwoRoom,0.04,65,0.8199999928474426,82,0.7486477981314302,0.25135220186856977,0.07000000029802322,0.3888888955116272,0.007500000000000001
3074,TwoRoom,0.05,8,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.0,0.0,0.0
3074,TwoRoom,0.05,16,0.949999988079071,95,0.9008389147209472,0.09916108527905276,0.009999999776482582,0.20000000298023224,0.0002500000000000002
