training_seed,task,checkpoint_role,severity,n,h1_acpc_q90_mean,h5_acpc_q90_mean,max_cost_drift_mean,top1_stability_rate,top1_certificate_coverage,elite_certificate_coverage,first_action_rms_mean,first_action_rms_median,first_action_stability_rate,positive_clean_regret_mean
3073,Cube,base,0.08,100,19.24082718849182,19.688167362213136,291.26031727313995,0.0,0.0,0.0,1.1173813170194626,1.0700112581253052,0.0,269.90286838531495
3073,Cube,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3073,Cube,endpoint,0.02,100,0.19857360541820526,0.16275465443730355,2.2683916473388672,0.98,0.73,0.35,0.2782489439768462,0.26570096611976624,0.32,0.6784423333406449
3073,Cube,endpoint,0.05,100,0.5285793186724186,0.45686836294829847,6.057969551086426,0.99,0.42,0.11,0.4943089496679686,0.4735029339790344,0.05,2.934234943985939
3073,Cube,endpoint,0.08,100,0.8624360045790672,0.6469575668871402,9.037116432189942,0.94,0.31,0.06,0.5251651482884729,0.5128642618656158,0.03,1.3011628371477126
3073,PushT,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3073,PushT,base,0.02,100,2.0067980021238325,2.7159649580717087,36.44750747680664,0.68,0.01,0.0,0.9400675103068352,0.8585993945598602,0.0,24.25379675388336
3073,PushT,base,0.05,100,9.802512574195863,12.48021915435791,125.74523766517639,0.17,0.0,0.0,1.3056744277477264,1.2290716767311096,0.0,137.04672821044923
3073,PushT,base,0.08,100,15.276786546707154,15.797428569793702,140.69545388579368,0.04,0.0,0.0,1.4384584206342697,1.3378459811210632,0.0,190.80413486480714
3073,PushT,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3073,PushT,endpoint,0.02,100,0.1722699200361967,0.1945124729350209,2.034708948135376,0.95,0.44,0.06,0.47497803164454494,0.43721573054790497,0.15,1.751204147338867
3073,PushT,endpoint,0.05,100,0.43736973360180853,0.46201548308134077,4.96732159614563,0.93,0.19,0.01,0.6535806294590961,0.6068961322307587,0.04,3.623148194551468
3073,PushT,endpoint,0.08,100,0.7370775830745697,0.8121454334259033,8.452571792602539,0.91,0.12,0.0,0.6666402648122078,0.6579047739505768,0.02,4.028838237524033
3073,Reacher,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3073,Reacher,base,0.02,100,7.403130950927735,5.098222187757492,83.40841163635254,0.55,0.02,0.0,0.7976852747797966,0.7567954063415527,0.0,22.231391613483428
3073,Reacher,base,0.05,100,25.491606922149657,14.85927987575531,238.90849457740785,0.18,0.0,0.0,1.0128227967023848,0.9913778901100159,0.0,206.18246274471284
3073,Reacher,base,0.08,100,32.33742071151733,15.988133268356323,256.33034757852556,0.06,0.0,0.0,1.0819420433044433,1.078270673751831,0.0,300.19459056138993
3073,Reacher,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3073,Reacher,endpoint,0.02,100,0.14092702232301235,0.1028718040511012,1.737609634399414,1.0,0.94,0.56,0.1854725712010981,1.8119503408797755e-07,0.58,0.20065587162971496
3073,Reacher,endpoint,0.05,100,0.36623480409383774,0.24938153535127638,4.187955627441406,0.98,0.79,0.38,0.31957761436825827,0.2638792097568512,0.32,0.261326946914196
3073,Reacher,endpoint,0.08,100,0.6296305719017983,0.412412881180644,6.696814651489258,0.92,0.7,0.24,0.49584735080245523,0.5000509470701218,0.09,0.394508912563324
3073,TwoRoom,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
