task,sigma_max,sigma_eval,n_training_seeds,clean_success_mean,clean_success_sd,stress_success_mean,stress_success_sd,retention_pp_mean,retention_pp_sd,relative_ir_mean,relative_ir_sd,sr_mean,sr_sd,ir_pass_count,joint_pass_count,natural_sr_veto_count
Reacher,0.4,0.64,3,78.33332222223333,6.765912930136816,62.88887777776666,9.215514695980541,-15.444444444466667,3.0245905752949414,0.17435653083775557,0.058670941858651716,0.9799999594688416,0.017320491557565074,3,3,0
Reacher,0.5,0.08,3,79.77776666666666,2.5458717491918814,79.8888777778,1.3471698731373458,0.11111111113333057,3.097191081070549,0.011797485233017829,0.0007384258747514264,1.0,0.0,3,3,0
Reacher,0.5,0.16,3,79.77776666666666,2.5458717491918814,79.44445555556666,3.3388903679416244,-0.3333111110999975,0.8819423017807807,0.021301733428844682,0.0015022269740893222,1.0,0.0,3,3,0
Reacher,0.5,0.32,3,79.77776666666666,2.5458717491918814,78.0,5.547772325671713,-1.7777666666666647,3.501338897382294,0.04153246949025242,0.0027477076480646716,0.9966666499773661,0.005773531598612731,3,3,0
Reacher,0.5,0.64,3,79.77776666666666,2.5458717491918814,73.0000111111,7.4236828237243015,-6.777755555566661,5.102637662299978,0.09950929668097297,0.015014686726083273,0.9899999499320984,0.0,3,3,0
Reacher,0.7,0.08,3,69.22222222223333,10.205300002830045,70.55555555556667,7.762683766518055,1.3333333333333333,2.516611478423583,0.012063031664626979,0.0011799692479818082,1.0,0.0,3,3,0
Reacher,0.7,0.16,3,69.22222222223333,10.205300002830045,67.8889,10.123318333125207,-1.33332222223333,0.8818982054594452,0.022738962644325077,0.003295911939673644,1.0,0.0,3,3,0
Reacher,0.7,0.32,3,69.22222222223333,10.205300002830045,68.66665555556666,8.353308060654328,-0.555566666666671,3.006183750375587,0.04597891070014178,0.0072832251404665324,1.0,0.0,3,3,0
Reacher,0.7,0.64,3,69.22222222223333,10.205300002830045,60.7777777778,10.18350154434267,-8.444444444433335,1.3877773329907641,0.0930150644086014,0.01723016074033478,0.9899999698003134,0.010000020265594026,3,3,0
Reacher,1.0,0.08,3,60.88887777776667,30.231198748602964,58.66665555553333,28.041626993548423,-2.222222222233333,2.2689530951659105,0.009763483937788522,0.001479334031540947,1.0,0.0,3,3,0
Reacher,1.0,0.16,3,60.88887777776667,30.231198748602964,60.44443333333333,26.95124995387082,-0.4444444444333359,3.2885885748358312,0.018029182661833367,0.0024251186438279657,1.0,0.0,3,3,0
Reacher,1.0,0.32,3,60.88887777776667,30.231198748602964,58.777788888900005,30.45276506327792,-2.1110888888666643,0.6938619790307243,0.035572676209240324,0.006394607809374172,0.9966666499773661,0.005773531598612731,3,3,0
Reacher,1.0,0.64,3,60.88887777776667,30.231198748602964,58.55556666666667,28.677008341283134,-2.3333111110999964,2.905894393086289,0.07265760113680936,0.013688572188602546,0.9899999896685282,0.01732052597032278,3,3,0
Reacher,1.5,0.08,3,76.33332222220001,2.000000000092592,75.66666666666667,1.2018504251454192,-0.6666555555333341,2.6034250944462807,0.010013068018131848,0.000715070185136947,1.0,0.0,3,3,0
