task,training_seed,evidence_split,sigma_max,sigma_eval,clean_success,stress_success,ir_raw_q90,ir_reference_raw_q90,ir_relative_q90,neg_ir_relative_q90,sr,ir_only_pass,ir_and_sr_pass,natural_sr_veto,different_state_pair_count,retention_pp,retention_ratio,exposure_good,retention_pp_centered,retention_ratio_centered,neg_ir_relative_q90_centered,sr_centered,exposure_good_centered
TwoRoom,3073,replication,0.2,0.16,98.0,99.0,0.15930503606796265,2.0207908153533936,0.07883301668713472,-0.07883301668713472,0.9672130346298218,True,True,False,61,1.0,1.010204081632653,-0.7999999999999999,2.9062499999750013,0.0279900761443459,0.14872978473036375,0.13370899693109095,0.24624999999999986
TwoRoom,3073,replication,0.2,0.32,98.0,97.6666666667,0.4404440224170685,2.0577094554901123,0.21404577854367784,-0.21404577854367784,0.9672130346298218,True,True,False,61,-0.33333333330000414,0.9965986394561224,-1.5999999999999999,1.9895833333499988,0.017548056527084244,0.10436380216757823,0.13985653803683817,-0.0351785714285715
TwoRoom,3073,replication,0.2,0.64,98.0,78.6666666667,2.2396647930145264,2.0471694469451904,1.0940300014522881,-1.0940300014522881,0.08196720480918884,False,False,False,61,-19.333333333300004,0.8027210884357142,-3.1999999999999997,-7.552083333312503,-0.07433301920503355,-0.40176219301340577,-0.4052253838162869,-0.5980357142857144
TwoRoom,3073,replication,0.3,0.08,94.6666666667,94.0,0.06090354174375534,1.683279275894165,0.03618148373590777,-0.03618148373590777,0.9999999403953552,True,True,False,61,-0.6666666666999959,0.9929577464785236,-0.26666666666666666,-1.3437499999875007,-0.011781907564062277,0.009399888888029562,0.012807375052943826,0.020297619047619064
TwoRoom,3073,replication,0.3,0.16,94.6666666667,95.0,0.1236143559217453,2.0207908153533936,0.06117127759219737,-0.06117127759219737,0.9672130346298218,True,True,False,61,0.33333333330000414,1.00352112676021,-0.5333333333333333,-1.0937500000000018,-0.012227419304285947,0.01873394178766713,-0.001536899944767356,0.012916666666666576
TwoRoom,3073,replication,0.3,0.32,94.6666666667,95.3333333333,0.30105072259902954,2.0577094554901123,0.14630380484271246,-0.14630380484271246,0.9672130346298218,True,True,False,61,0.6666666666000083,1.0070422535204202,-1.0666666666666667,-0.343750000024996,-0.0055428699848067975,0.02444819383090968,0.004610641160979867,-0.0018452380952382885
TwoRoom,3073,replication,0.3,0.64,94.6666666667,89.0,1.2225537300109863,2.0471694469451904,0.5971922509078547,-0.5971922509078547,0.6065573692321777,False,False,False,61,-5.666666666699996,0.9401408450700915,-2.1333333333333333,2.7812500000124984,0.02955219685315491,-0.05258202450660626,-0.015881116269156337,-0.03136904761904802
TwoRoom,3073,replication,0.4,0.08,90.3333333333,92.0,0.06819260865449905,1.683279275894165,0.04051176155440686,-0.04051176155440686,0.9836065173149109,True,True,False,61,1.6666666666999959,1.0184501845022207,-0.19999999999999998,-1.0104166666624996,-0.007754050384163547,-0.013525882985320037,-0.044569665333256125,-0.16303571428571428
TwoRoom,3073,replication,0.4,0.16,90.3333333333,92.0,0.12962263822555542,2.0207908153533936,0.06414451077306939,-0.06414451077306939,0.9836065173149109,True,True,False,61,1.6666666666999959,1.0184501845022207,-0.39999999999999997,-1.7604166666750007,-0.01876294240607357,-0.002834785448055377,-0.02612703456543386,-0.10375000000000001
TwoRoom,3073,replication,0.4,0.32,90.3333333333,92.0,0.2935595214366913,2.0577094554901123,0.14266325143885306,-0.14266325143885306,0.9836065173149109,True,True,False,61,1.6666666666999959,1.0184501845022207,-0.7999999999999999,-1.3437499999999991,-0.015599519846804633,0.009493253179918587,-0.019979493459686637,0.01482142857142843
TwoRoom,3073,replication,0.4,0.64,90.3333333333,88.0,1.0627825260162354,2.0471694469451904,0.5191473170929409,-0.5191473170929409,0.7540982961654663,False,False,False,61,-2.333333333300004,0.9741697416977764,-1.5999999999999999,4.1145833333374995,0.042116512637041414,0.0068674152534569655,0.09067619335837662,0.2519642857142854
TwoRoom,3073,replication,0.5,0.08,80.0,82.3333333333,0.0881732702255249,1.683279275894165,0.05238184268542538,-0.05238184268542538,0.9999999403953552,True,True,False,61,2.333333333300004,1.02916666666625,-0.16,-0.34375000001249756,0.002009172247850355,-0.03476604746562101,-0.08965163840912282,-0.27303571428571427
TwoRoom,3073,replication,0.5,0.16,80.0,82.0,0.1839839369058609,2.0207908153533936,0.09104551322581403,-0.09104551322581403,0.9999999403953552,True,True,False,61,2.0,1.025,-0.32,-1.4270833333250028,-0.013166386440309763,-0.039105871250082525,-0.07120900764130056,-0.17375000000000007
TwoRoom,3073,replication,0.5,0.32,80.0,80.0,0.37448248267173767,2.0577094554901123,0.18198997029079703,-0.18198997029079703,0.9836065173149109,True,True,False,61,0.0,1.0,-0.64,-3.010416666650001,-0.03500296388104074,-0.039203549021307876,-0.08145488961599767,0.02482142857142844
TwoRoom,3073,replication,0.5,0.64,80.0,78.3333333333,0.8261744976043701,2.0471694469451904,0.4035691812601039,-0.4035691812601039,0.9672130346298218,False,False,False,61,-1.6666666666999959,0.9791666666662501,-1.28,4.7812499999875016,0.0461601780734997,0.11307546773701149,0.24231553566642106,0.42196428571428535
TwoRoom,3073,replication,0.7,0.08,68.6666666667,68.6666666667,0.1417645812034607,1.683279275894165,0.08421928745493212,-0.08421928745493212,0.9836065173149109,True,True,False,61,0.0,1.0,-0.1142857142857143,-2.0104166666375027,-0.018824161084910584,-0.050368300888564255,-0.08555328263901174,-0.39875000000000005
TwoRoom,3073,replication,0.7,0.16,68.6666666667,68.0,0.29458776116371155,2.0207908153533936,0.14577845412079152,-0.14577845412079152,0.9836065173149109,True,True,False,61,-0.6666666666999959,0.9902912621354417,-0.2285714285714286,-3.4270833333499997,-0.03954179097137889,-0.0776036207984965,-0.06711065187118948,-0.25375000000000014
TwoRoom,3073,replication,0.7,0.32,68.6666666667,69.6666666667,0.4469046890735626,2.0577094554901123,0.21718551561358176,-0.21718551561358176,0.9836065173149109,True,True,False,61,1.0,1.0145631067961094,-0.4571428571428572,-1.3437499999750022,-0.012106523751442277,-0.058163902997529104,-0.06096311076544225,0.03624999999999989
TwoRoom,3073,replication,0.7,0.64,68.6666666667,68.3333333333,0.7098437547683716,2.0471694469451904,0.34674401565908897,-0.34674401565908897,0.9180327653884888,False,False,False,61,-0.3333333333999917,0.9951456310669927,-0.9142857142857144,6.781249999962505,0.07047247580773142,0.18613582468458995,0.21362704527564347,0.6162499999999995
